"X","V1","V2","V3","End","Interval"
163834,"chr4","77892_78199_AluY_SINE",82,78199,1
163839,"chr4","87604_87907_AluSx3_SINE",82,87907,1
163843,"chr4","96542_96836_AluSc_SINE",81,96836,1
163856,"chr4","136982_137267_AluSg7_SINE",78,137267,1
163865,"chr4","152815_153125_AluSx3_SINE",82,153125,1
163868,"chr4","166563_166862_AluSc_SINE",72,166862,1
163873,"chr4","184549_184832_AluSg_SINE",81,184832,1
163874,"chr4","184933_185240_AluSx_SINE",84,185240,1
163895,"chr4","248835_249136_AluY_SINE",82,249136,1
163898,"chr4","259782_260076_AluSc_SINE",81,260076,1
163908,"chr4","280659_280948_AluY_SINE",81,280948,1
163916,"chr4","306116_306422_AluY_SINE",86,306422,1
163919,"chr4","312177_312477_AluSc_SINE",81,312477,1
163920,"chr4","313554_313871_AluSq2_SINE",82,313871,1
163923,"chr4","316918_317225_AluSq10_SINE",82,317225,1
163926,"chr4","319759_320075_AluSp_SINE",86,320075,1
163943,"chr4","349739_350038_AluSg4_SINE",81,350038,1
163953,"chr4","362033_362330_AluSz_SINE",81,362330,1
163959,"chr4","372061_372356_AluSc_SINE",81,372356,1
163973,"chr4","411834_412110_AluY_SINE",85,412110,1
163975,"chr4","413097_413394_AluSx3_SINE",83,413394,1
163987,"chr4","430544_430819_AluY_SINE",81,430819,1
163989,"chr4","431756_432051_AluY_SINE",82,432051,1
163997,"chr4","449086_449358_AluSc_SINE",80,449358,1
164007,"chr4","461787_462070_AluYc_SINE",82,462070,1
164015,"chr4","477057_477361_AluSx1_SINE",85,477361,1
164017,"chr4","479494_479761_AluSc_SINE",81,479761,1
164044,"chr4","574204_574495_AluSz_SINE",81,574495,2
164062,"chr4","631009_631309_AluSz_SINE",81,631309,2
164066,"chr4","635426_635735_AluSx_SINE",81,635735,2
164069,"chr4","636817_637118_AluSc_SINE",81,637118,2
164070,"chr4","637705_638001_AluSc_SINE",81,638001,2
164086,"chr4","689152_689453_AluSg_SINE",80,689453,2
164089,"chr4","690645_690955_AluSx1_SINE",81,690955,2
164095,"chr4","711183_711465_AluSg_SINE",81,711465,2
164096,"chr4","712730_713040_AluSx3_SINE",81,713040,2
164110,"chr4","751674_751980_AluSc_SINE",82,751980,2
164111,"chr4","764560_764876_AluSx1_SINE",82,764876,2
164116,"chr4","770206_770497_AluSp_SINE",83,770497,2
164165,"chr4","895743_896045_AluSz_SINE",81,896045,2
164170,"chr4","913821_914130_AluY_SINE",82,914130,2
164174,"chr4","916020_916322_AluSx1_SINE",81,916322,2
164180,"chr4","929857_930094_AluSz_SINE",91,930094,2
164200,"chr4","971482_971776_AluSg_SINE",80,971776,2
164203,"chr4","972392_972703_AluSx3_SINE",82,972703,2
164210,"chr4","1000399_1000646_AluSx_SINE",81,1000646,2
164211,"chr4","1000972_1001261_AluSx_SINE",81,1001261,2
164223,"chr4","1077148_1077463_AluSx_SINE",76,1077463,3
164239,"chr4","1130334_1130649_AluSx_SINE",81,1130649,3
164240,"chr4","1133226_1133540_AluSz_SINE",75,1133540,3
164247,"chr4","1155965_1156270_AluSx1_SINE",80,1156270,3
164252,"chr4","1178440_1178750_AluSx3_SINE",86,1178750,3
164256,"chr4","1183162_1183456_AluJb_SINE",78,1183456,3
164257,"chr4","1183494_1183795_AluSc8_SINE",83,1183795,3
164261,"chr4","1226096_1226395_AluSz_SINE",81,1226395,3
164274,"chr4","1269289_1269589_AluY_SINE",83,1269589,3
164281,"chr4","1306211_1306515_AluSx1_SINE",81,1306515,3
164311,"chr4","1488675_1488975_AluSx_SINE",81,1488975,3
164317,"chr4","1532478_1532783_AluSx1_SINE",81,1532783,4
164320,"chr4","1586997_1587310_AluSz_SINE",78,1587310,4
164323,"chr4","1588220_1588534_AluY_SINE",90,1588534,4
164324,"chr4","1589116_1589411_AluSz_SINE",81,1589411,4
164333,"chr4","1622828_1623130_AluYf5_SINE",83,1623130,4
164335,"chr4","1633607_1633908_AluSz_SINE",82,1633908,4
164340,"chr4","1647830_1648125_AluY_SINE",81,1648125,4
164346,"chr4","1659736_1660046_AluY_SINE",92,1660046,4
164355,"chr4","1669873_1670165_AluSx1_SINE",81,1670165,4
164359,"chr4","1679469_1679689_AluSx1_SINE",81,1679689,4
164368,"chr4","1683979_1684287_AluSc5_SINE",81,1684287,4
164371,"chr4","1689526_1689835_AluY_SINE",83,1689835,4
164374,"chr4","1691066_1691373_AluY_SINE",82,1691373,4
164386,"chr4","1700218_1700510_AluSc8_SINE",82,1700510,4
164438,"chr4","1847588_1847883_AluSz_SINE",80,1847883,4
164439,"chr4","1848026_1848291_AluSg_SINE",81,1848291,4
164452,"chr4","1866782_1867094_AluSq2_SINE",81,1867094,4
164453,"chr4","1869056_1869358_AluSx_SINE",82,1869358,4
164458,"chr4","1877660_1877953_AluY_SINE",81,1877953,4
164461,"chr4","1882981_1883288_AluY_SINE",83,1883288,4
164465,"chr4","1886122_1886418_AluSc5_SINE",81,1886418,4
164468,"chr4","1888276_1888577_AluSc_SINE",89,1888577,4
164473,"chr4","1892013_1892327_AluY_SINE",85,1892327,4
164478,"chr4","1894910_1895217_AluSx_SINE",83,1895217,4
164480,"chr4","1896142_1896427_AluJb_SINE",80,1896427,4
164500,"chr4","1923226_1923530_AluSz_SINE",81,1923530,4
164514,"chr4","1955714_1956011_AluSx_SINE",81,1956011,4
164533,"chr4","2005597_2005914_AluSc_SINE",89,2005914,4
164535,"chr4","2006536_2006834_AluY_SINE",85,2006834,4
164539,"chr4","2013480_2013790_AluSz_SINE",81,2013790,4
164540,"chr4","2013970_2014234_AluJr_SINE",75,2014234,4
164546,"chr4","2018690_2018999_AluY_SINE",83,2018999,4
164551,"chr4","2022638_2022925_AluSz_SINE",81,2022925,4
164558,"chr4","2037077_2037386_AluY_SINE",82,2037386,5
164564,"chr4","2051546_2051849_AluJb_SINE",77,2051849,5
164579,"chr4","2122879_2123180_AluSx1_SINE",81,2123180,5
164586,"chr4","2141797_2142103_AluSg_SINE",81,2142103,5
164591,"chr4","2150761_2151078_AluJb_SINE",81,2151078,5
164606,"chr4","2180341_2180638_AluSx1_SINE",81,2180638,5
164626,"chr4","2211378_2211688_AluJb_SINE",81,2211688,5
164628,"chr4","2212697_2212975_AluSx1_SINE",81,2212975,5
164629,"chr4","2213222_2213568_AluJb_SINE",82,2213568,5
164641,"chr4","2231269_2231584_AluSq_SINE",78,2231584,5
164644,"chr4","2236616_2236910_AluSg4_SINE",81,2236910,5
164649,"chr4","2278925_2279234_AluSx3_SINE",81,2279234,5
164650,"chr4","2279939_2280212_AluJb_SINE",81,2280212,5
164666,"chr4","2318412_2318696_AluSc8_SINE",82,2318696,5
164669,"chr4","2320002_2320250_AluSx_SINE",81,2320250,5
164681,"chr4","2358615_2358922_AluSx1_SINE",85,2358922,5
164705,"chr4","2441574_2441867_AluSx_SINE",79,2441867,5
164717,"chr4","2472689_2472993_AluSz_SINE",81,2472993,5
164718,"chr4","2474488_2474787_AluY_SINE",82,2474787,5
164734,"chr4","2489907_2490178_AluSx_SINE",81,2490178,5
164735,"chr4","2490536_2490839_AluSq2_SINE",83,2490839,5
164749,"chr4","2504130_2504421_AluSg_SINE",69,2504421,5
164751,"chr4","2506444_2506759_AluSx3_SINE",82,2506759,5
164761,"chr4","2520393_2520699_AluSg4_SINE",80,2520699,5
164779,"chr4","2530612_2530946_AluSc8_SINE",82,2530946,6
164783,"chr4","2532235_2532537_AluY_SINE",83,2532537,6
164785,"chr4","2533680_2533976_AluSx_SINE",81,2533976,6
164787,"chr4","2534901_2535212_AluSq_SINE",81,2535212,6
164798,"chr4","2543744_2544031_AluSg_SINE",81,2544031,6
164802,"chr4","2546714_2547019_AluSx_SINE",81,2547019,6
164812,"chr4","2552463_2552813_AluY_SINE",82,2552813,6
164814,"chr4","2554260_2554563_AluY_SINE",82,2554563,6
164817,"chr4","2555809_2556110_AluSg4_SINE",81,2556110,6
164834,"chr4","2568134_2568426_AluSz_SINE",79,2568426,6
164845,"chr4","2582969_2583279_AluSx_SINE",82,2583279,6
164851,"chr4","2588385_2588679_AluJr_SINE",81,2588679,6
164864,"chr4","2607416_2607725_AluSx_SINE",80,2607725,6
164868,"chr4","2611390_2611667_AluSc8_SINE",82,2611667,6
164869,"chr4","2611676_2611981_AluSc5_SINE",81,2611981,6
164891,"chr4","2634842_2635155_AluSx1_SINE",82,2635155,6
164894,"chr4","2637771_2638089_AluSc8_SINE",82,2638089,6
164895,"chr4","2638775_2639054_AluJb_SINE",81,2639054,6
164906,"chr4","2663628_2663934_AluY_SINE",82,2663934,6
164912,"chr4","2671071_2671358_AluSx_SINE",81,2671358,6
164936,"chr4","2710174_2710490_AluSq_SINE",81,2710490,6
164944,"chr4","2716907_2717189_AluSz_SINE",81,2717189,6
164947,"chr4","2719037_2719342_AluSz_SINE",81,2719342,6
164964,"chr4","2741601_2741901_AluY_SINE",85,2741901,6
164969,"chr4","2753550_2753860_AluSx3_SINE",82,2753860,6
164989,"chr4","2778799_2779109_AluY_SINE",82,2779109,6
164992,"chr4","2781230_2781433_AluSx1_SINE",80,2781433,6
164993,"chr4","2781524_2781824_AluSz_SINE",81,2781824,6
164994,"chr4","2781904_2782215_AluY_SINE",82,2782215,6
164996,"chr4","2787684_2787908_AluSx_SINE",81,2787908,6
165024,"chr4","2865857_2866167_AluSx3_SINE",81,2866167,6
165025,"chr4","2867897_2868202_AluSx_SINE",90,2868202,6
165026,"chr4","2868532_2868819_AluJb_SINE",81,2868819,6
165039,"chr4","2890162_2890444_AluSx1_SINE",83,2890444,6
165043,"chr4","2892893_2893196_AluSz_SINE",76,2893196,6
165059,"chr4","2922859_2923154_AluY_SINE",83,2923154,6
165071,"chr4","2976749_2977035_AluSc_SINE",81,2977035,6
165077,"chr4","2986857_2987144_AluYc_SINE",83,2987144,6
165079,"chr4","2990630_2990929_AluSc8_SINE",81,2990929,6
165095,"chr4","3010248_3010545_AluSx_SINE",81,3010545,6
165108,"chr4","3026305_3026598_AluSz_SINE",79,3026598,6
165113,"chr4","3035295_3035611_AluSc_SINE",81,3035611,7
165118,"chr4","3044752_3045035_AluSg4_SINE",75,3045035,7
165123,"chr4","3054978_3055289_AluSx_SINE",81,3055289,7
165130,"chr4","3061316_3061599_AluSx_SINE",83,3061599,7
165137,"chr4","3067906_3068190_AluSc5_SINE",81,3068190,7
165146,"chr4","3086458_3086764_AluY_SINE",83,3086764,7
165152,"chr4","3093760_3094046_AluSx3_SINE",82,3094046,7
165165,"chr4","3129408_3129710_AluSz_SINE",81,3129710,7
165173,"chr4","3150242_3150534_AluY_SINE",83,3150534,7
165187,"chr4","3177742_3178053_AluY_SINE",82,3178053,7
165190,"chr4","3187357_3187632_AluJb_SINE",81,3187632,7
165206,"chr4","3265922_3266235_AluSq_SINE",81,3266235,7
165218,"chr4","3285987_3286266_AluSx1_SINE",82,3286266,7
165219,"chr4","3290936_3291230_AluJb_SINE",82,3291230,7
165221,"chr4","3297104_3297408_AluSq2_SINE",80,3297408,7
165227,"chr4","3337534_3337852_AluSz_SINE",83,3337852,7
165249,"chr4","3509739_3510032_AluSx_SINE",81,3510032,7
165261,"chr4","3575726_3576040_AluSg7_SINE",86,3576040,8
165262,"chr4","3586900_3587205_AluSz_SINE",80,3587205,8
165263,"chr4","3587741_3588007_AluSx_SINE",81,3588007,8
165266,"chr4","3595932_3596226_AluSx_SINE",81,3596226,8
165276,"chr4","3740212_3740526_AluY_SINE",84,3740526,8
165282,"chr4","3808011_3808305_AluSg4_SINE",81,3808305,8
165287,"chr4","3888589_3888897_AluSp_SINE",80,3888897,8
165289,"chr4","3904938_3905242_AluSc8_SINE",82,3905242,8
165294,"chr4","3922800_3923104_AluSg_SINE",80,3923104,8
165295,"chr4","3924045_3924335_AluSc8_SINE",84,3924335,8
165297,"chr4","3941320_3941593_AluSq2_SINE",83,3941593,8
165310,"chr4","3968380_3968666_AluSx_SINE",81,3968666,8
165320,"chr4","3997443_3997737_AluSg_SINE",80,3997737,8
165324,"chr4","4013019_4013321_AluY_SINE",81,4013321,8
165325,"chr4","4013881_4014186_AluSx_SINE",81,4014186,8
165328,"chr4","4026829_4027135_AluSx1_SINE",81,4027135,8
165339,"chr4","4062950_4063250_AluSc_SINE",81,4063250,9
165386,"chr4","4206491_4206798_AluSx3_SINE",84,4206798,9
165390,"chr4","4220373_4220668_AluSx1_SINE",82,4220668,9
165398,"chr4","4233103_4233405_AluSx3_SINE",82,4233405,9
165407,"chr4","4251238_4251540_AluSg_SINE",81,4251540,9
165418,"chr4","4266144_4266453_AluSz_SINE",81,4266453,9
165420,"chr4","4277163_4277370_AluJb_SINE",80,4277370,9
165431,"chr4","4305952_4306244_AluSz_SINE",73,4306244,9
165433,"chr4","4316089_4316398_AluSx_SINE",81,4316398,9
165439,"chr4","4326760_4327052_AluSx1_SINE",81,4327052,9
165443,"chr4","4337488_4337799_AluSx_SINE",81,4337799,9
165448,"chr4","4345196_4345531_AluSz6_SINE",82,4345531,9
165455,"chr4","4353660_4353959_AluSz_SINE",82,4353959,9
165459,"chr4","4358964_4359267_AluSp_SINE",79,4359267,9
165460,"chr4","4361347_4361645_AluSq_SINE",81,4361645,9
165463,"chr4","4364156_4364471_AluSx_SINE",81,4364471,9
165465,"chr4","4373163_4373479_AluSz_SINE",81,4373479,9
165477,"chr4","4424011_4424325_AluSx_SINE",79,4424325,9
165490,"chr4","4530808_4531101_AluY_SINE",81,4531101,9
165492,"chr4","4548106_4548429_AluSq_SINE",91,4548429,10
165498,"chr4","4591102_4591411_AluSq2_SINE",81,4591411,10
165510,"chr4","4625336_4625630_AluJb_SINE",82,4625630,10
165525,"chr4","4655969_4656280_AluSc8_SINE",83,4656280,10
165543,"chr4","4775754_4776059_AluSx1_SINE",81,4776059,10
165547,"chr4","4832900_4833169_AluY_SINE",83,4833169,10
165549,"chr4","4837330_4837640_AluJb_SINE",81,4837640,10
165560,"chr4","4933877_4934163_AluSx1_SINE",87,4934163,10
165562,"chr4","4936743_4937050_AluSx_SINE",83,4937050,10
165572,"chr4","4994233_4994544_AluY_SINE",82,4994544,10
165574,"chr4","5033918_5034254_AluSz_SINE",80,5034254,10
165605,"chr4","5225259_5225562_AluY_SINE",86,5225562,11
165609,"chr4","5231905_5232216_AluSx1_SINE",81,5232216,11
165629,"chr4","5371590_5371901_AluSx3_SINE",81,5371901,11
165632,"chr4","5406590_5406864_AluY_SINE",82,5406864,11
165636,"chr4","5429852_5430162_AluY_SINE",83,5430162,11
165642,"chr4","5459312_5459595_AluSp_SINE",86,5459595,11
165658,"chr4","5565076_5565366_AluSc_SINE",76,5565366,12
165659,"chr4","5567137_5567419_AluSx1_SINE",82,5567419,12
165664,"chr4","5614367_5614676_AluY_SINE",82,5614676,12
165670,"chr4","5646026_5646329_AluSc_SINE",81,5646329,12
165675,"chr4","5673234_5673536_AluSq2_SINE",81,5673536,12
165678,"chr4","5680495_5680782_AluSx1_SINE",81,5680782,12
165683,"chr4","5699473_5699777_AluY_SINE",88,5699777,12
165686,"chr4","5715122_5715425_AluSx1_SINE",80,5715425,12
165691,"chr4","5740356_5740592_AluSc_SINE",81,5740592,12
165698,"chr4","5783792_5784100_AluSx_SINE",82,5784100,12
165703,"chr4","5801789_5802101_AluSz_SINE",81,5802101,12
165705,"chr4","5805670_5805964_AluSx_SINE",81,5805964,12
165706,"chr4","5814962_5815233_AluSx3_SINE",89,5815233,12
165711,"chr4","5843744_5843993_AluY_SINE",81,5843993,12
165722,"chr4","5877598_5877893_AluY_SINE",83,5877893,12
165724,"chr4","5912626_5912935_AluY_SINE",86,5912935,12
165735,"chr4","5973735_5974029_AluSc_SINE",81,5974029,12
165741,"chr4","5988855_5989165_AluSx3_SINE",81,5989165,12
165748,"chr4","6052937_6053266_AluSq2_SINE",96,6053266,12
165760,"chr4","6104449_6104721_AluY_SINE",82,6104721,13
165768,"chr4","6134087_6134393_AluSz_SINE",81,6134393,13
165769,"chr4","6137690_6137966_AluSx1_SINE",81,6137966,13
165772,"chr4","6142880_6143192_AluSz6_SINE",81,6143192,13
165790,"chr4","6240108_6240411_AluSz6_SINE",81,6240411,13
165807,"chr4","6285815_6286129_AluSq2_SINE",84,6286129,13
165827,"chr4","6420889_6421184_AluSx_SINE",89,6421184,13
165858,"chr4","6589471_6589785_AluSz6_SINE",85,6589785,14
165859,"chr4","6590169_6590459_AluSx1_SINE",81,6590459,14
165875,"chr4","6624802_6625089_AluSz_SINE",80,6625089,14
165896,"chr4","6654512_6654821_AluSx_SINE",80,6654821,14
165899,"chr4","6661325_6661623_AluSx1_SINE",81,6661623,14
165913,"chr4","6700484_6700801_AluY_SINE",83,6700801,14
165918,"chr4","6713960_6714261_AluSq2_SINE",81,6714261,14
165924,"chr4","6728155_6728449_AluSx3_SINE",82,6728449,14
165940,"chr4","6764482_6764793_AluSc_SINE",82,6764793,14
165950,"chr4","6790685_6790997_AluY_SINE",83,6790997,14
165955,"chr4","6793042_6793353_AluJb_SINE",81,6793353,14
165960,"chr4","6799516_6799812_AluYc_SINE",81,6799812,14
165962,"chr4","6808187_6808493_AluY_SINE",82,6808493,14
165966,"chr4","6818006_6818308_AluY_SINE",82,6818308,14
165980,"chr4","6867017_6867327_AluSz_SINE",82,6867327,14
165983,"chr4","6879820_6880098_AluSx_SINE",81,6880098,14
165985,"chr4","6888490_6888779_AluSx1_SINE",81,6888779,14
166012,"chr4","6947194_6947506_AluSp_SINE",81,6947506,14
166022,"chr4","6960616_6960911_AluYa5_SINE",84,6960911,14
166045,"chr4","7018745_7019051_AluSz6_SINE",80,7019051,14
166048,"chr4","7028341_7028651_AluJb_SINE",81,7028651,14
166055,"chr4","7038436_7038732_AluSx3_SINE",84,7038732,14
166057,"chr4","7040532_7040845_AluSx3_SINE",83,7040845,14
166060,"chr4","7059845_7060157_AluSq2_SINE",84,7060157,14
166063,"chr4","7067583_7067840_AluY_SINE",85,7067840,14
166090,"chr4","7124888_7125197_AluSx1_SINE",82,7125197,15
166091,"chr4","7127407_7127697_AluSx1_SINE",81,7127697,15
166093,"chr4","7144362_7144664_AluSc_SINE",81,7144664,15
166099,"chr4","7171378_7171677_AluY_SINE",86,7171677,15
166100,"chr4","7173580_7173899_AluSx1_SINE",83,7173899,15
166108,"chr4","7238301_7238607_AluSx_SINE",80,7238607,15
166126,"chr4","7375206_7375518_AluSz_SINE",80,7375518,15
166132,"chr4","7484765_7485069_AluY_SINE",85,7485069,15
166133,"chr4","7508891_7509200_AluSc8_SINE",81,7509200,15
166134,"chr4","7510077_7510362_AluSx1_SINE",68,7510362,15
166136,"chr4","7570957_7571259_AluSx3_SINE",82,7571259,15
166137,"chr4","7581930_7582234_AluSz_SINE",89,7582234,16
166141,"chr4","7606041_7606325_AluY_SINE",82,7606325,16
166171,"chr4","7867616_7867922_AluSq_SINE",80,7867922,16
166179,"chr4","7890510_7890815_AluSx1_SINE",82,7890815,16
166184,"chr4","7909673_7909951_AluSx_SINE",81,7909951,16
166196,"chr4","7942047_7942345_AluSz_SINE",82,7942345,16
166205,"chr4","7956594_7956897_AluSz_SINE",82,7956897,16
166208,"chr4","7963216_7963530_AluSz6_SINE",82,7963530,16
166209,"chr4","7963678_7963981_AluSq2_SINE",82,7963981,16
166218,"chr4","7979235_7979555_AluSx3_SINE",82,7979555,16
166224,"chr4","7989752_7990049_AluSz_SINE",81,7990049,16
166227,"chr4","7999596_7999912_AluSp_SINE",80,7999912,16
166229,"chr4","8005283_8005591_AluSx1_SINE",80,8005591,16
166231,"chr4","8014939_8015250_AluSx1_SINE",82,8015250,16
166232,"chr4","8016639_8016946_AluSx1_SINE",81,8016946,16
166242,"chr4","8043347_8043650_AluY_SINE",84,8043650,16
166247,"chr4","8057557_8057866_AluSx1_SINE",81,8057866,16
166252,"chr4","8064163_8064465_AluY_SINE",83,8064465,16
166259,"chr4","8076500_8076810_AluSg_SINE",81,8076810,16
166265,"chr4","8121044_8121350_AluSg_SINE",81,8121350,17
166290,"chr4","8232510_8232800_AluJb_SINE",82,8232800,17
166315,"chr4","8388011_8388313_AluY_SINE",82,8388313,17
166318,"chr4","8399606_8399898_AluSx1_SINE",81,8399898,17
166323,"chr4","8436936_8437246_AluY_SINE",88,8437246,17
166326,"chr4","8446128_8446424_AluSz_SINE",81,8446424,17
166331,"chr4","8460178_8460481_AluSx1_SINE",81,8460481,17
166338,"chr4","8502381_8502671_AluSz6_SINE",84,8502671,17
166340,"chr4","8513787_8514091_AluSx1_SINE",81,8514091,17
166356,"chr4","8557101_8557411_AluSx_SINE",81,8557411,17
166364,"chr4","8568557_8568868_AluSc5_SINE",81,8568868,17
166372,"chr4","8639825_8640127_AluSx1_SINE",81,8640127,18
166379,"chr4","8668851_8669160_AluSx1_SINE",81,8669160,18
166387,"chr4","8713390_8713685_AluY_SINE",81,8713685,18
166390,"chr4","8724812_8725001_AluSx3_SINE",83,8725001,18
166392,"chr4","8735173_8735475_AluSq2_SINE",82,8735475,18
166399,"chr4","8757990_8758302_AluSq2_SINE",80,8758302,18
166401,"chr4","8769217_8769519_AluSx1_SINE",81,8769519,18
166516,"chr4","9503384_9503673_AluSq_SINE",77,9503673,19
166532,"chr4","9556110_9556426_AluY_SINE",83,9556426,19
166539,"chr4","9582126_9582404_AluSg_SINE",81,9582404,19
166559,"chr4","9633858_9634166_AluSx_SINE",81,9634166,20
166578,"chr4","9685280_9685584_AluSz_SINE",81,9685584,20
166609,"chr4","9736699_9737003_AluSc8_SINE",83,9737003,20
166619,"chr4","9755497_9755802_AluSc_SINE",82,9755802,20
166665,"chr4","10043640_10043947_AluY_SINE",82,10043947,20
166678,"chr4","10363709_10364012_AluY_SINE",85,10364012,21
166681,"chr4","10379933_10380198_AluY_SINE",85,10380198,21
166692,"chr4","10432048_10432347_AluSz_SINE",83,10432347,21
166698,"chr4","10467699_10467901_AluSz_SINE",81,10467901,21
166705,"chr4","10479373_10479668_AluSz_SINE",81,10479668,21
166717,"chr4","10505396_10505703_AluSg_SINE",81,10505703,21
166725,"chr4","10516578_10516873_AluSx_SINE",81,10516873,21
166736,"chr4","10551835_10552141_AluY_SINE",84,10552141,21
166740,"chr4","10558418_10558744_AluSg_SINE",81,10558744,21
166749,"chr4","10594996_10595315_AluSx_SINE",80,10595315,21
166751,"chr4","10597651_10597947_AluSp_SINE",80,10597947,21
166760,"chr4","10657261_10657572_AluY_SINE",82,10657572,22
166761,"chr4","10660579_10660838_AluSq_SINE",82,10660838,22
166765,"chr4","10697485_10697779_AluSx1_SINE",81,10697779,22
166772,"chr4","10730216_10730522_AluY_SINE",89,10730522,22
166773,"chr4","10754506_10754767_AluSc_SINE",81,10754767,22
166780,"chr4","10790532_10790843_AluY_SINE",83,10790843,22
166785,"chr4","10824379_10824696_AluSz_SINE",81,10824696,22
