"X","V1","V2","V3","End","Interval"
20,"chr1","710306_710610_AluSp_SINE",80,710610,2
43,"chr1","921469_921769_AluY_SINE",83,921769,2
55,"chr1","929421_929714_AluSz_SINE",81,929714,2
60,"chr1","942687_942997_AluSq_SINE",81,942997,2
72,"chr1","992853_993165_AluSx1_SINE",80,993165,2
75,"chr1","996352_996653_AluSq_SINE",80,996653,2
85,"chr1","1038205_1038522_AluSq2_SINE",95,1038522,3
93,"chr1","1053110_1053411_AluJo_SINE",85,1053411,3
95,"chr1","1056002_1056297_AluSx_SINE",81,1056297,3
97,"chr1","1062326_1062634_AluSx3_SINE",81,1062634,3
101,"chr1","1083148_1083450_AluJo_SINE",78,1083450,3
107,"chr1","1122728_1123029_AluSx1_SINE",81,1123029,3
109,"chr1","1126195_1126498_AluSq2_SINE",84,1126498,3
110,"chr1","1128424_1128725_AluY_SINE",82,1128725,3
120,"chr1","1186736_1187032_AluSx_SINE",80,1187032,3
121,"chr1","1187129_1187412_AluSg_SINE",73,1187412,3
129,"chr1","1201919_1202219_AluY_SINE",88,1202219,3
135,"chr1","1212928_1213223_AluY_SINE",83,1213223,3
139,"chr1","1214780_1215080_AluY_SINE",82,1215080,3
141,"chr1","1218132_1218429_AluY_SINE",82,1218429,3
149,"chr1","1253244_1253549_AluY_SINE",85,1253549,3
161,"chr1","1304134_1304432_AluSx_SINE",81,1304432,3
162,"chr1","1304539_1304834_AluY_SINE",79,1304834,3
169,"chr1","1314502_1314736_AluSz_SINE",81,1314736,3
172,"chr1","1318443_1318712_AluSx1_SINE",81,1318712,3
183,"chr1","1331276_1331589_AluSx1_SINE",83,1331589,3
187,"chr1","1338226_1338535_AluY_SINE",83,1338535,3
191,"chr1","1339873_1340151_AluSc8_SINE",82,1340151,3
206,"chr1","1364098_1364399_AluY_SINE",82,1364399,3
207,"chr1","1365247_1365537_AluJb_SINE",78,1365537,3
208,"chr1","1378313_1378622_AluY_SINE",83,1378622,3
211,"chr1","1381098_1381392_AluSx3_SINE",82,1381392,3
214,"chr1","1382782_1383086_AluSx_SINE",81,1383086,3
218,"chr1","1386424_1386714_AluY_SINE",84,1386714,3
220,"chr1","1389023_1389320_AluSp_SINE",82,1389320,3
222,"chr1","1392692_1393003_AluY_SINE",84,1393003,3
224,"chr1","1393357_1393660_AluSz_SINE",83,1393660,3
231,"chr1","1399869_1400129_AluSq2_SINE",81,1400129,3
232,"chr1","1400263_1400568_AluSx_SINE",81,1400568,3
236,"chr1","1405581_1405791_AluSx_SINE",82,1405791,3
252,"chr1","1423377_1423635_AluSz_SINE",83,1423635,3
259,"chr1","1428037_1428341_AluSx3_SINE",82,1428341,3
265,"chr1","1435273_1435577_AluSx_SINE",81,1435577,3
269,"chr1","1437887_1438191_AluSx_SINE",81,1438191,3
270,"chr1","1439361_1439665_AluSx_SINE",81,1439665,3
329,"chr1","1524873_1525149_AluY_SINE",82,1525149,3
335,"chr1","1528260_1528557_AluSc8_SINE",82,1528557,3
349,"chr1","1554471_1554767_AluY_SINE",83,1554767,4
364,"chr1","1600229_1600447_AluSx1_SINE",81,1600447,4
410,"chr1","1667957_1668270_AluSx1_SINE",82,1668270,4
422,"chr1","1697068_1697353_AluSq2_SINE",74,1697353,4
425,"chr1","1698358_1698655_AluSz_SINE",83,1698655,4
434,"chr1","1704579_1704879_AluSq2_SINE",81,1704879,4
445,"chr1","1722611_1722913_AluSp_SINE",84,1722913,4
448,"chr1","1726142_1726426_AluSc_SINE",81,1726426,4
449,"chr1","1726922_1727205_AluSx1_SINE",86,1727205,4
463,"chr1","1739449_1739744_AluSp_SINE",80,1739744,4
467,"chr1","1742101_1742406_AluSx1_SINE",81,1742406,4
475,"chr1","1750019_1750331_AluSx_SINE",81,1750331,4
491,"chr1","1766106_1766406_AluY_SINE",82,1766406,4
494,"chr1","1768992_1769299_AluSc_SINE",87,1769299,4
500,"chr1","1772639_1772918_AluSx_SINE",72,1772918,4
502,"chr1","1776730_1777017_AluY_SINE",82,1777017,4
512,"chr1","1787866_1788164_AluSc_SINE",81,1788164,4
